Qty,Value,Device,Package,Parts,Description,MPN,PROD_ID,,,,,
4,,LEDCHIP-LED0603,CHIP-LED0603,LED1,,,,,,,,
3,,PINHD-1X2,1X02,JP4,,,,,,,,
1,,PINHD-1X4,1X04,JP2,PIN HEADER,,,,,,,
1,,PINHD-2X8,2X08,JP1,PIN HEADER,,,,,,,
1,1,R-US_R0603,R0603,R13,RESISTOR,,,,,,,
1,100,R-US_R0603,R0603,R15,RESISTOR,,,,,,,
1,100k,R-US_R0603,R0603,R4,RESISTOR,,,,,,,
5,100n,C-USC0603,C0603,C10,,,,,,,,
1,10k,R-US_R0603,R0603,R1,RESISTOR,,,,,,,
1,10n,C-USC0603,C0603,C3,CAPACITOR,,,,,,,
1,10uF,C-USC0603,C0603,C14,CAPACITOR,,,,,,,
1,13k3,R-US_R0603,R0603,R18,RESISTOR,,,,,,,
5,1M,R-US_R0603,R0603,R6,,,,,,,,
6,1k,R-US_R0603,R0603,R2,,,,,,,,
12,1k96,R-US_R0603,R0603,R5,,,,, R28, R29," R30"";""RESISTOR"," American symbol"";"""";"""";"
3,1u,C-USC0603,C0603,C1,,,,,,,,
1,2.2u,C-USC0603,C0603,C16,CAPACITOR,,,,,,,
4,4.7n,C-USC0603,C0603,C4,,,,,,,,
4,470n,C-USC0603,C0603,C22,,,,,,,,
1,470p,C-USC0603,C0603,C8,CAPACITOR,,,,,,,
1,52k3,R-US_R0603,R0603,R17,RESISTOR,,,,,,,
1,560pF/50V,C-USC0603,C0603,C15,CAPACITOR,,,,,,,
1,74S04D,74S04D,SO14,IC3,Hex INVERTER,,,,,,,
1,820n,C-USC0603,C0603,C9,CAPACITOR,,,,,,,
1,9k9,R-US_R0603,R0603,R16,RESISTOR,,,,,,,
2,BAT60A,BAT60A,SOD323,D1,,,,,,,,
1,FCI-MICRO-USB,FCI-MICRO-USB,FCI-MICROUSB,U$3,,,,,,,,
1,IRLR3105TR,FET-N-IRLR3105TRIRLR3105TR,DPAK,Q1,Common NMOSFET Parts,,TRANS-09984,,,,,
1,LASERDIODELD2,LASERDIODELD2,LASERDIODE2,LD1,,3 x (0552-2-15-15-11-27-10-0),,,,,,
1,LD3985M33R,LD3985MXXR,SOT23-5L,REG1,,,,,,,,
4,LMC7101,LMC7101,SOT23-5,U$2,,,,,,,,
1,LMH6645MF,OPAMP-SINGLELMH6645MF,SOT23-5,U1,Single amp opamps,,,,,,,
1,LMR62014,LMR62014,SOT23-5,U$8,,,,,,,,
1,MBR0520,MBR0520,SOD123,U$9,,,,,,,,
1,SDR0403-100ML,SDR0403,SDR0403,U$14,,,,,,,,
2,SMF6.0A,MBR0520,SOD123,U$10,,,,,,,,
2,SP3002,SP3002,SC70-6,U$11,,,,,,,,
1,STM32F042-LQFP48,STM32F042-LQFP48,LQFP48,U$1,,,,,,,,
1,ferrite,L-US,C0603,L1,INDUCTOR,,,,,,,
