"Part";"Value";"Device";"Package";"Description";"";
"C1";"1u";"C-USC0603";"C0603";"CAPACITOR, American symbol";"";
"C2";"1u";"C-USC0603";"C0603";"CAPACITOR, American symbol";"";
"C3";"10n";"C-USC0603";"C0603";"CAPACITOR, American symbol";"";
"C4";"4.7n";"C-USC0603";"C0603";"CAPACITOR, American symbol";"";
"C5";"4.7n";"C-USC0603";"C0603";"CAPACITOR, American symbol";"";
"C6";"4.7n";"C-USC0603";"C0603";"CAPACITOR, American symbol";"";
"C7";"4.7n";"C-USC0603";"C0603";"CAPACITOR, American symbol";"";
"C8";"470p";"C-USC0603";"C0603";"CAPACITOR, American symbol";"";
"C9";"820n";"C-USC0603";"C0603";"CAPACITOR, American symbol";"";
"C10";"100n";"C-USC0603";"C0603";"CAPACITOR, American symbol";"";
"C11";"100n";"C-USC0603";"C0603";"CAPACITOR, American symbol";"";
"C12";"100n";"C-USC0603";"C0603";"CAPACITOR, American symbol";"";
"C13";"100n";"C-USC0603";"C0603";"CAPACITOR, American symbol";"";
"C14";"10uF";"C-USC0603";"C0603";"CAPACITOR, American symbol";"";
"C15";"560pF/50V";"C-USC0603";"C0603";"CAPACITOR, American symbol";"";
"C16";"2.2u";"C-USC0603";"C0603";"CAPACITOR, American symbol";"";
"C22";"470n";"C-USC0603";"C0603";"CAPACITOR, American symbol";"";
"C23";"470n";"C-USC0603";"C0603";"CAPACITOR, American symbol";"";
"C24";"470n";"C-USC0603";"C0603";"CAPACITOR, American symbol";"";
"C25";"470n";"C-USC0603";"C0603";"CAPACITOR, American symbol";"";
"C26";"1u";"C-USC0603";"C0603";"CAPACITOR, American symbol";"";
"C27";"100n";"C-USC0603";"C0603";"CAPACITOR, American symbol";"";
"D1";"BAT60A";"BAT60A";"SOD323";"";"";
"D2";"BAT60A";"BAT60A";"SOD323";"";"";
"IC3";"74S04D";"74S04D";"SO14";"Hex INVERTER";"";
"JP1";"";"PINHD-2X8";"2X08";"PIN HEADER";"";
"JP2";"";"PINHD-2X2";"2X02";"PIN HEADER";"";
"JP4";"";"PINHD-1X2";"1X02";"PIN HEADER";"";
"JP7";"";"PINHD-1X2";"1X02";"PIN HEADER";"";
"JP8";"";"PINHD-1X2";"1X02";"PIN HEADER";"";
"LD1";"LASERDIODELD2";"LASERDIODELD2";"LASERDIODE2";"";"";
"LED1";"";"LEDCHIP-LED0603";"CHIP-LED0603";"LED";"";
"LED2";"";"LEDCHIP-LED0603";"CHIP-LED0603";"LED";"";
"LED3";"";"LEDCHIP-LED0603";"CHIP-LED0603";"LED";"";
"LED4";"";"LEDCHIP-LED0603";"CHIP-LED0603";"LED";"";
"Q1";"IRLR3105TR";"FET-N-IRLR3105TRIRLR3105TR";"DPAK";"Common NMOSFET Parts";"";
"R1";"10k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";
"R2";"";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";
"R3";"";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";
"R4";"100k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";
"R5";"3k9";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";
"R6";"1M";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";
"R7";"3k9";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";
"R8";"1M";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";
"R9";"3k9";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";
"R10";"1M";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";
"R11";"3k9";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";
"R12";"1M";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";
"R13";"1";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";
"R14";"1k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";
"R15";"100";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";
"R16";"9k9";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";
"R17";"52k3";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";
"R18";"13k3";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";
"R19";"1M";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";
"R20";"";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";
"R21";"";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";
"R25";"1k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";
"REG1";"LD3985M33R";"LD3985MXXR";"SOT23-5L";"";"";
"U$1";"STM32F042-LQFP48";"STM32F042-LQFP48";"LQFP48";"";"";
"U$2";"LMC7101";"LMC7101";"SOT23-5";"";"";
"U$3";"FCI-MICRO-USB";"FCI-MICRO-USB";"FCI-MICROUSB";"";"";
"U$4";"LMC7101";"LMC7101";"SOT23-5";"";"";
"U$5";"LMC7101";"LMC7101";"SOT23-5";"";"";
"U$6";"LMC7101";"LMC7101";"SOT23-5";"";"";
"U$7";"";"L_TDK_1005";"MLK1005";"";"";
"U$8";"LMR62014";"LMR62014";"SOT23-5";"";"";
"U$9";"MBR0520";"MBR0520";"SOD123";"";"";
"U$10";"MBR0520";"MBR0520";"SOD123";"";"";
"U$11";"SP3002";"SP3002";"SC70-6";"";"";
"U$12";"SP3002";"SP3002";"SC70-6";"";"";
"U$13";"MBR0520";"MBR0520";"SOD123";"";"";
"U$14";"SDR0403-100ML";"SDR0403";"SDR0403";"";"";
"U1";"LMH6645MF";"OPAMP-SINGLELMH6645MF";"SOT23-5";"Single amp opamps";"";
